show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,The Code,Tom Bennett,"Actor 115, Actor 72, Actor 53",Mexico,"February 19, 2021",2020,TV-Y,64 min,Comedies,A heartwarming tale about revenge.
s2,Movie,The City,Maria Gonzalez,"Actor 215, Actor 113, Actor 230, Actor 143, Actor 4, Actor 82",Australia,"March 7, 2019",2017,PG,73 min,Romantic Movies,A gripping tale about love.
s3,TV Show,Hidden Shadow,,"Actor 236, Actor 275",India,"February 18, 2021",2021,PG-13,6 Seasons,"Comedies, Dramas, Horror Movies",A heartwarming tale about love.
s4,TV Show,Rising Legacy,,"Actor 195, Actor 143",Spain,"March 12, 2021",2019,PG,4 Seasons,"Sports Movies, Horror Movies, Reality TV",A gripping tale about ambition.
s5,Movie,Silent Code,Maria Gonzalez,"Actor 237, Actor 195, Actor 139",,"April 22, 2021",2019,PG,167 min,Action & Adventure,A gripping tale about love.
s6,Movie,A Legacy,,"Actor 109, Actor 256, Actor 203, Actor 235",United Kingdom,"December 18, 2017",2016,NR,93 min,"Anime Series, Romantic Movies, Sports Movies",A quirky tale about love.
s7,Movie,Last City,Elena Petrova,"Actor 25, Actor 57",United Kingdom,"October 3, 2021",2019,TV-Y,108 min,"Thrillers, Kids' TV, International TV Shows",A dark tale about family.
s8,Movie,A Storm,,"Actor 175, Actor 58, Actor 151, Actor 223",United Kingdom,"September 25, 2020",2018,TV-PG,124 min,Reality TV,A thrilling tale about ambition.
s9,Movie,Last Dream,Kenji Watanabe,"Actor 272, Actor 1, Actor 166, Actor 251, Actor 10, Actor 58",,"April 2, 2019",2017,R,172 min,"Comedies, Sports Movies, Stand-Up Comedy",A quirky tale about family.
s10,TV Show,Silent Garden,,"Actor 66, Actor 244, Actor 282",United Kingdom,"July 7, 2020",2016,NR,4 Seasons,"Horror Movies, Sports Movies",A thrilling tale about survival.
s11,TV Show,Golden Story,,"Actor 116, Actor 33, Actor 174",United States,"October 8, 2020",2019,TV-MA,2 Season,Comedies,A gripping tale about love.
